gemeente,aantal,code
Aa en Hunze,25357,1680
Aalburg,12846,738
Aalsmeer,30759,358
Aalten,27013,197
Achtkarspelen,28016,59
Alblasserdam,19801,482
Albrandswaard,25069,613
Alkmaar,94866,361
Almelo,72459,141
Almere,196013,34
Alphen aan den Rijn,106785,484
Alphen-Chaam,9717,1723
Ameland,3578,60
Amersfoort,150897,307
Amstelveen,85015,362
Amsterdam,810937,363
Apeldoorn,157545,200
Appingedam,12064,3
Arnhem,150823,202
Assen,67190,106
Asten,16440,743
Baarle-Nassau,6612,744
Baarn,24314,308
Barendrecht,47377,489
Barneveld,54152,203
Bedum,10494,5
Beek (L.),16271,888
Beemster,8910,370
Beesel,13617,889
Bellingwedde,8920,7
Bergeijk,18256,1724
Bergen (L.),13237,893
Bergen (NH.),30076,373
Bergen op Zoom,66419,748
Berkelland,44666,1859
Bernheze,29690,1721
Best,28617,753
Beuningen,25288,209
Beverwijk,40093,375
het Bildt,10626,63
De Bilt,42036,310
Binnenmaas,28710,585
Bladel,19834,1728
Blaricum,9094,376
Bloemendaal,22059,377
Bodegraven-Reeuwijk,32910,1901
Boekel,10089,755
Ten Boer,7479,9
Borger-Odoorn,25627,1681
Borne,21884,147
Borsele,22579,654
Boxmeer,28147,756
Boxtel,30320,757
Breda,179623,758
Brielle,16312,501
Bronckhorst,36932,1876
Brummen,21177,213
Brunssum,28958,899
Bunnik,14626,312
Bunschoten,20492,313
Buren,26019,214
Bussum,32631,381
Capelle aan den IJssel,66178,502
Castricum,34288,383
Coevorden,35769,109
Cranendonck,20344,1706
Cromstrijen,12738,611
Cuijk,24783,1684
Culemborg,27590,216
Dalfsen,27674,148
Dantumadiel,19030,1891
Delft,100046,503
Delfzijl,25698,10
Deurne,31659,762
Deventer,98322,150
Diemen,25930,384
Dinkelland,25947,1774
Doesburg,11437,221
Doetinchem,56344,222
Dongen,25358,766
Dongeradeel,24160,58
Dordrecht,118691,505
Drechterland,19250,498
Drimmelen,26695,1719
Dronten,40413,303
Druten,18210,225
Duiven,25609,226
Echt-Susteren,31976,1711
Edam-Volendam,28920,385
Ede,110656,228
Eemnes,8779,317
Eemsmond,15928,1651
Eersel,18183,770
Eijsden-Margraten,24979,1903
Eindhoven,220920,772
Elburg,22645,230
Emmen,108052,114
Enkhuizen,18376,388
Enschede,158586,153
Epe,32351,232
Ermelo,26045,233
Etten-Leur,42357,777
Ferwerderadiel,8790,1722
Franekeradeel,20445,70
De Friese Meren,51414,1921
Geertruidenberg,21571,779
Geldermalsen,26300,236
Geldrop-Mierlo,38854,1771
Gemert-Bakel,29315,1652
Gennep,17286,907
Giessenlanden,14442,689
Gilze en Rijen,26069,784
Goeree-Overflakkee,48245,1924
Goes,36954,664
Goirle,23098,785
Gorinchem,35242,512
Gouda,70941,513
